goodsNo,name,brand,supply_price,url,price_candidates
1000001100,맥클린 헤드스파 힐링케어 트리트먼트 200ml ★2개★,,10000,https://m.cmtstory.com/goods/goods_view.php?goodsNo=1000001100,set_goods_price=10000 | fixed=31200 | coupon=10000
1000001149,디어도어 바디스크럽 미니 3종 선물 세트 37ml,,16900,https://m.cmtstory.com/goods/goods_view.php?goodsNo=1000001149,set_goods_price=16900 | fixed=32000 | coupon=16900
1000001150,디어도어 대즐링 래디언트 클렌징 팩투폼 100ml,,11900,https://m.cmtstory.com/goods/goods_view.php?goodsNo=1000001150,set_goods_price=11900 | fixed=19900 | coupon=11900
1000001151,디어도어 브레이크 포어 클렌징 팩투폼 100ml,,11900,https://m.cmtstory.com/goods/goods_view.php?goodsNo=1000001151,set_goods_price=11900 | fixed=19900 | coupon=11900
1000001152,디어도어 더히든 실키 바디&핸드 로션 300ml,,11900,https://m.cmtstory.com/goods/goods_view.php?goodsNo=1000001152,set_goods_price=11900 | fixed=22900 | coupon=11900
1000001153,디어도어 대즐링 래디언트 바디&핸드 로션 300ml,,11900,https://m.cmtstory.com/goods/goods_view.php?goodsNo=1000001153,set_goods_price=11900 | fixed=22900 | coupon=11900
1000001154,디어도어 대즐링 래디언트 바디&핸드 워시 300ml,,11900,https://m.cmtstory.com/goods/goods_view.php?goodsNo=1000001154,set_goods_price=11900 | fixed=19900 | coupon=11900
1000001155,디어도어 브레이크 릴렉싱 아크네 바디워시 300ml,,11900,https://m.cmtstory.com/goods/goods_view.php?goodsNo=1000001155,set_goods_price=11900 | fixed=24500 | coupon=11900
1000001156,디어도어 더히든 실키 바디&핸드 워시 300ml,,11900,https://m.cmtstory.com/goods/goods_view.php?goodsNo=1000001156,set_goods_price=11900 | fixed=19900 | coupon=11900
1000001157,디어도어 더 히든 바디 스크럽 100ml,,3000,https://m.cmtstory.com/goods/goods_view.php?goodsNo=1000001157,set_goods_price=3000 | fixed=14800 | coupon=3000
1000001158,디어도어 대즐링 바디 스크럽 100ml,,9900,https://m.cmtstory.com/goods/goods_view.php?goodsNo=1000001158,set_goods_price=9900 | fixed=14800 | coupon=9900
1000001159,디어도어 브레이크 바디 스크럽 100ml,,9900,https://m.cmtstory.com/goods/goods_view.php?goodsNo=1000001159,set_goods_price=9900 | fixed=14800 | coupon=9900
1000001160,디어도어 브레이크 바디 스크럽 300ml,,22000,https://m.cmtstory.com/goods/goods_view.php?goodsNo=1000001160,set_goods_price=22000 | fixed=36000 | coupon=22000
1000001161,디어도어 더 히든 바디 스크럽 300ml,,22000,https://m.cmtstory.com/goods/goods_view.php?goodsNo=1000001161,set_goods_price=22000 | fixed=36000 | coupon=22000
1000001162,디어도어 대즐링 바디 스크럽 300ml,,22000,https://m.cmtstory.com/goods/goods_view.php?goodsNo=1000001162,set_goods_price=22000 | fixed=36000 | coupon=22000
1000001208,듀이프로페셔널 마린 플랜츠 스캘프 샴푸 750ml + 샘플(마린 플랜츠 스캘프 2종),,21000,https://m.cmtstory.com/goods/goods_view.php?goodsNo=1000001208,set_goods_price=21000 | fixed=33000 | coupon=21000
1000001209,듀이프로페셔널 마린 플랜츠 스캘프 팩 750g + 샘플(마린 플랜츠 스캘프 2종),,22000,https://m.cmtstory.com/goods/goods_view.php?goodsNo=1000001209,set_goods_price=22000 | fixed=36000 | coupon=22000
1000001210,듀이프로페셔널 소프트 컬링 에센스 160ml + 샘플(컬링 에센스 2종),,8200,https://m.cmtstory.com/goods/goods_view.php?goodsNo=1000001210,set_goods_price=8200 | fixed=16000 | coupon=8200
1000001211,듀이프로페셔널 더블업 컬링 에센스 160ml + 샘플(컬링 에센스 2종),,8200,https://m.cmtstory.com/goods/goods_view.php?goodsNo=1000001211,set_goods_price=8200 | fixed=16000 | coupon=8200
1000001212,듀이프로페셔널 블렌디크 레드벨벳 240ml,,9200,https://m.cmtstory.com/goods/goods_view.php?goodsNo=1000001212,set_goods_price=9200 | fixed=17000 | coupon=9200
1000001213,듀이프로페셔널 블렌디크 레드벨벳 60ml,,3500,https://m.cmtstory.com/goods/goods_view.php?goodsNo=1000001213,set_goods_price=3500 | fixed=8000 | coupon=3500
1000001214,듀이프로페셔널 블렌디크 화이트벨벳 240ml,,9200,https://m.cmtstory.com/goods/goods_view.php?goodsNo=1000001214,set_goods_price=9200 | fixed=17000 | coupon=9200
1000001215,듀이프로페셔널 블렌디크 화이트벨벳 60ml,,3500,https://m.cmtstory.com/goods/goods_view.php?goodsNo=1000001215,set_goods_price=3500 | fixed=8000 | coupon=3500
1000001216,텐제로 클리어링 티트리 바디로션 500ml,,7000,https://m.cmtstory.com/goods/goods_view.php?goodsNo=1000001216,set_goods_price=7000 | fixed=17000 | coupon=7000
1000001226,닥터크림 데일리 마일드 바디로션 베이비파우더향 500ml,,7500,https://m.cmtstory.com/goods/goods_view.php?goodsNo=1000001226,set_goods_price=7500 | fixed=19800 | coupon=7500
1000001227,닥터크림 데일리 릴리프 바디로션 라임 바질&만다린향 500ml,,7500,https://m.cmtstory.com/goods/goods_view.php?goodsNo=1000001227,set_goods_price=7500 | fixed=19800 | coupon=7500
1000001228,닥터크림 데일리 모이스처 바디로션 라벤더향 500ml,,7500,https://m.cmtstory.com/goods/goods_view.php?goodsNo=1000001228,set_goods_price=7500 | fixed=19800 | coupon=7500
1000001229,닥터크림 데일리 퓨어 바디로션 블랙베리향 500ml,,7500,https://m.cmtstory.com/goods/goods_view.php?goodsNo=1000001229,set_goods_price=7500 | fixed=19800 | coupon=7500
1000001230,닥터크림 데일리 프레쉬 바디로션 바닐라향 500ml,,7500,https://m.cmtstory.com/goods/goods_view.php?goodsNo=1000001230,set_goods_price=7500 | fixed=19800 | coupon=7500
